id,extracted,not_ext_reason,transformed,not_trans_reason,loaded,not_loaded_reason
2,True,,False,transformation error,False,
11,True,,False,transformation error,False,
12,True,,False,transformation error,False,
13,True,,False,transformation error,False,
14,True,,False,transformation error,False,
16,True,,False,transformation error,False,
17,True,,False,transformation error,False,
18,True,,False,transformation error,False,
19,True,,False,transformation error,False,
37,True,,False,transformation error,False,
38,True,,False,transformation error,False,
40,True,,False,transformation error,False,
41,True,,False,transformation error,False,
47,True,,False,transformation error,False,
48,True,,True,transformation error,True,
49,True,,False,transformation error,False,
50,True,,False,transformation error,False,
52,True,,False,transformation error,False,
53,True,,False,transformation error,False,
55,True,,True,transformation error,True,
56,True,,False,transformation error,False,
57,True,,False,transformation error,False,
59,True,,False,transformation error,False,
61,True,,False,transformation error,False,
62,True,,False,transformation error,False,
63,True,,False,transformation error,False,
64,True,,False,transformation error,False,
66,True,,False,transformation error,False,
67,True,,False,transformation error,False,
68,True,,False,transformation error,False,
69,True,,False,transformation error,False,
70,True,,False,transformation error,False,
71,True,,False,transformation error,False,
72,True,,False,transformation error,False,
73,True,,False,transformation error,False,
74,True,,False,transformation error,False,
75,True,,False,transformation error,False,
76,True,,False,transformation error,False,
77,True,,False,transformation error,False,
78,True,,False,transformation error,False,
79,True,,False,transformation error,False,
80,True,,False,transformation error,False,
81,True,,False,transformation error,False,
82,True,,False,transformation error,False,
83,True,,False,transformation error,False,
84,True,,False,transformation error,False,
85,True,,False,transformation error,False,
86,True,,False,transformation error,False,
87,True,,False,transformation error,False,
88,True,,False,transformation error,False,
90,True,,False,transformation error,False,
91,True,,False,transformation error,False,
92,True,,False,transformation error,False,
93,True,,False,transformation error,False,
95,True,,False,transformation error,False,
96,True,,False,transformation error,False,
99,True,,False,transformation error,False,
102,True,,False,transformation error,False,
103,True,,False,transformation error,False,
104,True,,False,transformation error,False,
106,True,,False,transformation error,False,
108,True,,False,transformation error,False,
109,True,,False,transformation error,False,
110,True,,False,transformation error,False,
111,True,,False,transformation error,False,
112,True,,False,transformation error,False,
120,True,,False,transformation error,False,
121,True,,False,transformation error,False,
124,True,,False,transformation error,False,
125,True,,False,transformation error,False,
126,True,,False,transformation error,False,
128,True,,False,transformation error,False,
129,True,,False,transformation error,False,
131,True,,False,transformation error,False,
132,True,,False,transformation error,False,
133,True,,False,transformation error,False,
135,True,,False,transformation error,False,
137,True,,False,transformation error,False,
138,True,,False,transformation error,False,
139,True,,False,transformation error,False,
140,True,,False,transformation error,False,
141,True,,False,transformation error,False,
142,True,,False,transformation error,False,
143,True,,False,transformation error,False,
144,True,,False,transformation error,False,
147,True,,False,transformation error,False,
148,True,,False,transformation error,False,
149,True,,False,transformation error,False,
150,True,,False,transformation error,False,
152,True,,False,transformation error,False,
153,True,,False,transformation error,False,
154,True,,False,transformation error,False,
155,True,,False,transformation error,False,
156,True,,False,transformation error,False,
157,True,,False,transformation error,False,
158,True,,False,transformation error,False,
159,True,,False,transformation error,False,
160,True,,False,transformation error,False,
161,True,,False,transformation error,False,
162,True,,False,transformation error,False,
163,True,,False,transformation error,False,
164,True,,False,transformation error,False,
165,True,,False,transformation error,False,
166,True,,False,transformation error,False,
167,True,,False,transformation error,False,
168,True,,False,transformation error,False,
169,True,,False,transformation error,False,
170,True,,False,transformation error,False,
172,True,,False,transformation error,False,
173,True,,False,transformation error,False,
174,True,,False,transformation error,False,
175,True,,False,transformation error,False,
177,True,,False,transformation error,False,
178,True,,False,transformation error,False,
179,True,,False,transformation error,False,
180,True,,False,transformation error,False,
181,True,,False,transformation error,False,
182,True,,False,transformation error,False,
183,True,,False,transformation error,False,
184,True,,False,transformation error,False,
185,True,,False,transformation error,False,
186,True,,False,transformation error,False,
187,True,,False,transformation error,False,
188,True,,False,transformation error,False,
189,True,,False,transformation error,False,
190,True,,False,transformation error,False,
191,True,,False,transformation error,False,
192,True,,False,transformation error,False,
193,True,,False,transformation error,False,
194,True,,False,transformation error,False,
196,True,,False,transformation error,False,
197,True,,False,transformation error,False,
198,True,,False,transformation error,False,
199,True,,False,transformation error,False,
200,True,,False,transformation error,False,
201,True,,False,transformation error,False,
202,True,,False,transformation error,False,
203,True,,False,transformation error,False,
204,True,,False,transformation error,False,
206,True,,False,transformation error,False,
207,True,,False,transformation error,False,
208,True,,False,transformation error,False,
209,True,,False,transformation error,False,
211,True,,False,transformation error,False,
212,True,,False,transformation error,False,
213,True,,False,transformation error,False,
214,True,,False,transformation error,False,
218,True,,False,transformation error,False,
220,True,,False,transformation error,False,
221,True,,False,transformation error,False,
222,True,,False,transformation error,False,
223,True,,False,transformation error,False,
224,True,,False,transformation error,False,
225,True,,False,transformation error,False,
227,True,,False,transformation error,False,
228,True,,False,transformation error,False,
229,True,,False,transformation error,False,
230,True,,False,transformation error,False,
231,True,,False,transformation error,False,
232,True,,False,transformation error,False,
233,True,,False,transformation error,False,
234,True,,False,transformation error,False,
235,True,,False,transformation error,False,
236,True,,False,transformation error,False,
237,True,,False,transformation error,False,
239,True,,False,transformation error,False,
241,True,,False,transformation error,False,
242,True,,False,transformation error,False,
243,True,,False,transformation error,False,
244,True,,False,transformation error,False,
245,True,,False,transformation error,False,
246,True,,False,transformation error,False,
247,True,,False,transformation error,False,
248,True,,False,transformation error,False,
249,True,,False,transformation error,False,
250,True,,False,transformation error,False,
251,True,,False,transformation error,False,
252,True,,False,transformation error,False,
253,True,,False,transformation error,False,
255,True,,False,transformation error,False,
256,True,,False,transformation error,False,
257,True,,False,transformation error,False,
259,True,,False,transformation error,False,
261,True,,False,transformation error,False,
262,True,,False,transformation error,False,
263,True,,False,transformation error,False,
264,True,,False,transformation error,False,
265,True,,False,transformation error,False,
266,True,,False,transformation error,False,
267,True,,False,transformation error,False,
268,True,,False,transformation error,False,
269,True,,False,transformation error,False,
270,True,,False,transformation error,False,
271,True,,False,transformation error,False,
272,True,,False,transformation error,False,
273,True,,False,transformation error,False,
274,True,,False,transformation error,False,
275,True,,False,transformation error,False,
276,True,,False,transformation error,False,
277,True,,False,transformation error,False,
278,True,,False,transformation error,False,
279,True,,False,transformation error,False,
280,True,,False,transformation error,False,
281,True,,False,transformation error,False,
282,True,,False,transformation error,False,
283,True,,False,transformation error,False,
284,True,,False,transformation error,False,
285,True,,False,transformation error,False,
286,True,,False,transformation error,False,
288,True,,False,transformation error,False,
289,True,,False,transformation error,False,
290,True,,False,transformation error,False,
291,True,,False,transformation error,False,
292,True,,False,transformation error,False,
293,True,,False,transformation error,False,
294,True,,False,transformation error,False,
295,True,,False,transformation error,False,
297,True,,False,transformation error,False,
298,True,,False,transformation error,False,
299,True,,False,transformation error,False,
300,True,,False,transformation error,False,
301,True,,False,transformation error,False,
302,True,,False,transformation error,False,
303,True,,False,transformation error,False,
304,True,,False,transformation error,False,
305,True,,False,transformation error,False,
306,True,,False,transformation error,False,
308,True,,False,transformation error,False,
314,True,,False,transformation error,False,
332,True,,False,transformation error,False,
